time,time_ms,latitude,longitude,elevation,airspeed,pressure_diff,temp,satellites
22:32:35,14200,34.01863861,-118.44660187,0.00,4.17,10.63,41.09,5
22:32:35,14446,34.01863861,-118.44660187,53.10,7.31,32.72,41.09,6
22:32:35,14653,34.01863861,-118.44660187,53.10,4.37,11.68,41.09,6
22:32:35,14857,34.01863861,-118.44660187,53.10,8.50,44.29,41.09,6
22:32:35,15060,34.01863861,-118.44660187,53.10,6.30,24.30,41.09,6
22:32:36,15270,34.01863861,-118.44660187,53.10,11.01,74.28,41.09,6
22:32:36,15523,34.01863861,-118.44660187,53.60,13.75,115.83,40.62,5
22:32:36,15730,34.01863861,-118.44660187,53.60,0.00,-20.41,41.09,5
22:32:36,15932,34.01863861,-118.44660187,53.60,0.00,-12.52,41.09,5
22:32:36,16136,34.01863861,-118.44660187,53.60,2.81,4.84,40.62,5
22:32:37,16382,34.01862717,-118.44660187,54.90,10.08,62.18,41.09,6
22:32:37,16614,34.01862717,-118.44660187,54.90,10.08,62.18,41.09,6
22:32:37,16816,34.01862717,-118.44660187,54.90,11.66,83.22,40.62,6
22:32:37,17016,34.01862717,-118.44660187,54.90,0.00,-7.79,41.09,6
22:32:38,17219,34.01862717,-118.44660187,54.90,6.09,22.72,41.09,6
22:32:38,17474,34.01862717,-118.44660187,56.20,0.00,-29.35,41.09,6
22:32:38,17676,34.01862717,-118.44660187,56.20,7.65,35.88,41.09,6
22:32:38,17879,34.01862717,-118.44660187,56.20,0.00,-36.72,41.09,6
22:32:38,18082,34.01862717,-118.44660187,56.20,0.00,-64.07,41.09,6
22:32:39,18311,34.01863098,-118.44660187,57.30,6.09,22.72,41.09,6
22:32:39,18552,34.01863098,-118.44660187,57.30,8.65,45.87,41.09,6
22:32:39,18752,34.01863098,-118.44660187,57.30,6.02,22.20,41.09,6
22:32:39,18952,34.01863098,-118.44660187,57.30,0.00,-14.10,41.09,6
22:32:39,19157,34.01863098,-118.44660187,57.30,6.30,24.30,41.09,6
22:32:40,19406,34.01863098,-118.44660187,58.70,0.00,-8.31,41.09,6
22:32:40,19626,34.01863098,-118.44660187,58.70,0.00,-8.31,41.09,6
22:32:40,19829,34.01863098,-118.44660187,58.70,11.36,79.01,41.09,6
22:32:40,20032,34.01863098,-118.44660187,58.70,7.19,31.67,41.09,6
22:32:41,20232,34.01863480,-118.44659424,58.70,0.00,-58.29,41.09,6
22:32:41,20483,34.01863480,-118.44659424,57.70,8.35,42.71,41.56,6
22:32:41,20687,34.01863480,-118.44659424,57.70,1.90,2.21,41.09,6
22:32:41,20891,34.01863480,-118.44659424,57.70,7.98,39.03,41.09,6
22:32:41,21092,34.01863480,-118.44659424,57.70,12.27,92.16,41.09,6
22:32:42,21325,34.01863861,-118.44659424,56.30,9.86,59.55,41.09,6
22:32:42,21568,34.01863861,-118.44659424,56.30,9.23,52.18,41.56,6
22:32:42,21771,34.01863861,-118.44659424,56.30,12.98,103.21,41.09,6
22:32:42,21971,34.01863861,-118.44659424,56.30,0.00,-5.68,41.09,6
22:32:42,22171,34.01863861,-118.44659424,56.30,0.00,-12.52,41.09,6
22:32:43,22418,34.01864624,-118.44658661,56.10,15.62,149.50,41.09,6
22:32:43,22643,34.01864624,-118.44658661,56.10,7.93,38.51,41.09,6
22:32:43,22847,34.01864624,-118.44658661,56.10,0.00,-2.53,41.56,6
22:32:43,23051,34.01864624,-118.44658661,56.10,0.00,-15.15,41.56,6
22:32:44,23251,34.01864624,-118.44657898,56.10,0.00,-27.25,41.09,6
22:32:44,23493,34.01864624,-118.44657898,55.30,10.53,67.96,41.09,6
22:32:44,23693,34.01864624,-118.44657898,55.30,3.24,6.42,41.56,6
22:32:44,23894,34.01864624,-118.44657898,55.30,2.81,4.84,41.56,6
22:32:44,24097,34.01864624,-118.44657898,55.30,0.00,-5.16,41.56,6
22:32:45,24351,34.01864243,-118.44657898,55.00,7.82,37.45,41.56,6
22:32:45,24590,34.01864243,-118.44657898,55.00,7.43,33.77,41.09,6
22:32:45,24792,34.01864243,-118.44657898,55.00,5.65,19.57,41.56,6
22:32:45,24993,34.01864243,-118.44657898,55.00,11.13,75.85,41.56,6
22:32:46,25199,34.01864243,-118.44658661,55.00,4.37,11.68,41.56,6
22:32:46,25454,34.01864243,-118.44658661,55.00,0.00,-2.53,41.56,6
22:32:46,25654,34.01864243,-118.44658661,55.00,5.18,16.41,41.09,6
22:32:46,25857,34.01864243,-118.44658661,55.00,2.96,5.37,41.09,6
22:32:46,26059,34.01864243,-118.44658661,55.00,9.68,57.44,41.56,6
22:32:47,26268,34.01863861,-118.44658661,55.00,7.65,35.88,41.56,6
22:32:47,26511,34.01863861,-118.44658661,55.10,12.78,100.05,41.56,6
22:32:47,26711,34.01863861,-118.44658661,55.10,5.01,15.36,41.56,6
22:32:47,26915,34.01863861,-118.44658661,55.10,10.29,64.81,41.09,6
22:32:47,27123,34.01863861,-118.44658661,55.10,8.65,45.87,41.56,6
22:32:48,27370,34.01863480,-118.44659424,55.90,0.00,-14.10,41.56,6
22:32:48,27604,34.01863480,-118.44659424,55.90,0.00,-8.31,41.56,6
22:32:48,27804,34.01863480,-118.44659424,55.90,5.58,19.04,41.09,6
22:32:48,28006,34.01863480,-118.44659424,55.90,2.49,3.79,41.56,6
22:32:49,28206,34.01863480,-118.44659424,55.90,0.00,-3.58,41.56,6
22:32:49,28453,34.01863480,-118.44659424,56.40,0.00,-4.10,41.56,6
22:32:49,28657,34.01863480,-118.44659424,56.40,0.00,-9.89,41.56,6
22:32:49,28857,34.01863480,-118.44659424,56.40,0.00,-0.95,41.56,6
22:32:49,29060,34.01863480,-118.44659424,56.40,0.00,-5.68,41.56,6
22:32:50,29266,34.01863480,-118.44659424,56.40,0.00,-5.68,41.56,6
22:32:50,29521,34.01863480,-118.44659424,56.30,0.00,-14.10,41.56,6
22:32:50,29723,34.01863480,-118.44659424,56.30,0.00,-14.10,41.56,6
22:32:50,29926,34.01863480,-118.44659424,56.30,0.00,-11.47,41.56,6
22:32:50,30127,34.01863480,-118.44659424,56.30,0.00,-16.73,41.56,6
22:32:51,30388,34.01863098,-118.44658661,57.60,0.00,-13.05,41.56,6
22:32:51,30616,34.01863098,-118.44658661,57.60,0.00,-10.94,41.56,6
